videoid,description,page_idx,page_dir,duration,contentUrl
100328,"a blurry photo of a park with a tree, a building, a tennis court with people watching, and a forest with a river in the background.",,,,
100329,"a blurry image of a lush green field with a panda bear sitting next to a tree, a tennis ball in the grass, a park bench and trees, and a group of people standing on top",,,,
100330,"a group of people and a person riding a bike in a forest with a wooden path, where a sign and a panda bear are present.",,,,
100331,"an aerial panoramic view from a plane of a lush green field with trees, a city and a river.",,,,
100334,"a blurry image of a car and a white van driving down a street next to a lush green park with a forest, the street surrounded by trees and grass.",,,,
100335,"a view of a group of people both riding down and standing by a river next to a forest, with a bench in the woods and a pond, the river running through a park.",,,,
100336,"a blurry image of people sitting in a park with woods, a river running through it and a dog walking, the people are sitting on a bench next to the river and on a bridge over the body of water.",,,,
100337,"an aerial view of a large body of water next to a lush green hillside, with a bridge over it and mountains in the background, also including a blurry photo of the same body of water.",,,,
100338,"a picture of a large white building sitting in the middle of a lake, with a boat floating on top of the water, a bridge in the background, and a sky background.",,,,
100339,"a panoramic and aerial view of a castle and a bridge overlooking a body of water, including a lake with a sky background.",,,,
100340,"a panoramic and aerial view of a castle by a lake, the lake including a bridge and a blurry view of the water.",,,,
100342,"a panoramic aerial view of a city with a cathedral, a river running through it, a cloudy sky, and a train on the tracks.",,,,
100343,"a panoramic and aerial view of a city with a river running through it, a train station, tall buildings, and visible from a plane.",,,,
100344,"a panoramic aerial view of a city with a church, a river running through it, buildings, and a large industrial area.",,,,
100348,"a panoramic and aerial view of a coastal town with a lake, the scene includes boats sitting in the water, a body of water, rocks and a dock.",,,,
100349,"a view of a beach, a house on a small island, a hill, all from a boat in the middle of a body of water.",,,,
100350,"a panoramic view of a town by the ocean, the town including a city with mountains in the background, viewed from a cliff, and a lush green hillside",,,,
100351,"a blurry aerial view of a village on a cliff overlooking the ocean under a cloudy sky, the scene including a body of water.",,,,
100352,"a scenic view of the ocean near a cliff, seen from a boat, with the sun shining over the water.",,,,
100353,"a panoramic and aerial view of a beach with people on it, a boat in the water and a body of water.",,,,
100355,"an underwater photo of a man swimming in the ocean next to a group of sharks, a large group of fish over a coral reef and a shipwreck.",,,,
100356,"a large group of sharks including a large white shark swimming in the ocean, with a man and another person also swimming, and a boat in the background.",,,,
100357,"a group of sharks, including a large white shark, swimming in the ocean with a net in the background, along with a group of dolphins.",,,,
100358,"a group of people and a man swimming in the ocean with a group of sharks, including a close up of a large shark.",,,,
100359,a picture of a large group of fish and a shark swimming in the ocean.,,,,
100360,"a person in a wet suit swimming in the ocean with a boat in the background, accompanied by two dolphins and a group of sharks, including a large shark.",,,,
100361,a large group of fish and a dolphin swimming in the ocean,,,,
100362,"a man in the ocean, swimming with a shark nearby, riding a surfboard on a wave, standing on a railing in the water and on top of a cage.",,,,
100363,a large group of fish swimming and birds flying over a blue ocean.,,,,
100364,"a large group of fish and a man riding a surfboard in the ocean, with a man standing in a cage containing fish in the water.",,,,
100365,"a group of people standing on top of a cage under water in the ocean, where dolphins, a great white shark and a large group of fish are swimming.",,,,
100366,"an underwater view of a man in a wet suit diving over a coral reef in the ocean, the reef includes a fish, green seaweed, and a seabed with algae.",,,,
100367,"an underwater view in the ocean including a rock formation, a coral reef with rocks and algae, a man scuba diving with a camera over the reef",,,,
100368,"a man is diving in a large body of water, featuring an underwater view of a boat floating on top, a coral reef, and an ocean with a logo on it.",,,,
100369,"an underwater view in the ocean, featuring a turtle swimming over a coral reef, a wreck, and algae growing on the reef, surrounded by blue water.",,,,
100370,"an underwater view of a person swimming in the ocean over a coral reef with a sea turtle, a large group of fish, and algae.",,,,
100371,"an underwater view of a person and a man swimming in the ocean with a turtle, over a coral reef and a ship wreck on the ocean floor.",,,,
100372,"an underwater view of a large turtle swimming over a coral reef in the ocean, the coral reef with the word airpano over it.",,,,
100373,"a blurry photo of a man swimming and riding a surfboard in the large blue ocean, a turtle also swims in the ocean with an airpano logo.",,,,
100374,"an underwater view of a turtle swimming over a coral reef in the ocean, the reef surrounded by seaweed and rock.",,,,
100375,"an underwater view of the ocean, featuring a shipwreck on the seabed with algae and rocks, a large turtle swimming, and a coral reef.",,,,
100376,"an underwater view of a person swimming with a camera in the ocean over a coral reef with seaweed growing on it, a turtle swimming, and a diver in the background.",,,,
100377,a large group of fish swimming over a coral reef with a man scuba diving in the ocean,,,,
100379,"a large group of fish and a man swimming in the ocean, the ocean with an airpano logo and blue water.",,,,
100380,"an underwater view of a man scuba diving over a coral and rocky reef in the ocean, the reef has a cloud-shaped object, the word 'pano' and a name written on it",,,,
100381,"a picture of a desert with a group of people riding camels, cars parked in front of a pyramid, animals walking across a sandy field, and a horse with a carriage.",,,,
100382,a blurry photo of a very large pyramid in the middle of a desert landscape,,,,
100383,a view of a man and a group of people riding camels and horses in the desert in front of a pyramid.,,,,
100384,a picture of a man and a group of people riding camels in a desert with a pyramid and a dirt road in the background,,,,
100385,"an aerial view of the desert with a blue sky, featuring three large pyramids, one of which is depicted in a 3D image.",,,,
100386,"a man riding a horse drawn carriage and a camel in front of a pyramid, with a group of people riding on the backs of camels and cars parked on a sandy beach.",,,,
100387,"a man riding a white horse in a blurry image of the desert, with a camel in front of the Pyramids of Giza and a dirt road in the background.",,,,
100388,"a person riding a horse in a desert with three pyramids in the background, and a truck in the foreground.",,,,
100389,"a panoramic and aerial 3D view of the three pyramids of Giza in the desert, the desert including rocks and sand.",,,,
100390,"an aerial view of a desert scene, with a group of people riding camels, some camels laying down in the dirt, a camel walking across the desert, and a sign in the foreground.",,,,
100391,"a picture of a man riding a brown horse across a sandy field in the desert, with a very tall pyramid and a large rock sitting on top of a sandy beach.",,,,
100393,a blurry photo of a blue and orange helicopter and a plane flying over the ocean and a beach in the sky.,,,,
100394,"a blurry photo of an orange and blue helicopter flying over the ocean, with a boat in the water and a red and black object in the sky.",,,,
100395,"a computer generated image of a mountain with a plume of smoke, a red and blue helicopter, a red helicopter and a plane flying over a snow covered ground and a large body of water.",,,,
100396,"a large plume of smoke coming out of a volcano with a helicopter and a plane flying over it, the scene includes a mountain at sunset, a large body of water and the ocean.",,,,
100397,"a blurry photo of a red and blue helicopter and a plane flying over a mountain with a sky background, the scene includes a desert and the ocean.",,,,
100398,"a computer-generated image of a plane and a red and blue helicopter flying over a desert landscape and a snow-covered mountain, under a cloudy sky.",,,,
100399,"a large plume of smoke coming out of the ocean, with a plane and a red and blue helicopter flying over a snow-covered mountain, and a person flying a kite over a snow-covered field.",,,,
100400,"a scene featuring a plane and helicopters flying over a large body of water covered with lava and a mountain, the helicopters are red and white, and red and blue.",,,,
100402,"a blurry image of a car driving on a road, a helicopter flying over the ocean and a snow-covered ground, with a beach and a mountain in the background.",,,,
100403,"a blurry photo of a plane and a red and blue helicopter flying over a frozen lake at sunset, with a boat in the water and a car in the snow.",,,,
100404,"a view of the sky with a red helicopter flying over a snow covered mountain, a blurry plane over a body of water, and a red and blue airplane flying in the sky, all seen from an airplane.",,,,
100405,"The output is: a computer generated image of a mountain covered in snow in the middle of the ocean under a cloudy sky, with a red and blue helicopter and a plane flying over.",,,,
100406,"an aerial view from an airplane of a snowy mountain at sunset with a red line going up it, including views of the sky and clouds.",,,,
100407,"a red airplane flying over a snow-covered mountain with a cloud-filled sky, the view captured from the plane itself.",,,,
100408,"a plane, possibly red, flying over a mountain covered in clouds, also over a large body of water, with a sky background.",,,,
100409,"an aerial view combining a volcano with smoke coming out, a body of water under clouds, a snow-covered mountain, and a sunset over the ocean.",,,,
100410,"a red and blue plane flying over a mountain and a body of water, the view including a helicopter and the ocean as seen from the plane.",,,,
100412,"a panoramic view from a plane, featuring a river, land, a wide open field, a city, and a desert with a sky background.",,,,
100413,"a red airplane is flying over a snowy field and a sandy beach, with a person skiing on the snow covered slope.",,,,
100414,"a windmill sitting on top of a green field next to a body of water, the field also showing a red roof, with a panoramic view of the adjacent river.",,,,
100416,a panoramic aerial view of a group of windmills next to a lush green field with a river running through it.,,,,
100418,"a view of a windmill sitting on top of a lush green field next to a large body of water, with a river in the distance and a boat in it.",,,,
100419,an aerial view of a wide river running through a lush green countryside with a windmill.,,,,
100420,"an aerial view of a lush green countryside with a wide river running through it, surrounded by fields, including a windmill.",,,,
100421,"a wide shot of the ocean from a plane, the ocean including ice floes, icebergs floating in the background, and a computer generated image of icebergs",,,,
100422,"a panoramic view of a snow covered field with a mountain, a river running through it, and a sky background, also including a snowboarder doing a trick in the air.",,,,
100423,"an aerial view of a large iceberg floating on a large body of water, the view including ice floes in the ocean.",,,,
100424,"a computer generated image of a plane flying over an icy landscape, the landscape including a snow covered mountain, a large iceberg floating in the ocean.",,,,
100425,"a large iceberg and a large wave in the ocean, with a plane and an airplane flying over the body of water.",,,,
100426,"an aerial view at sunset featuring a lake surrounded by a forest, all under a blue sky",,,,
100427,"an aerial view of a large lake at sunset, surrounded by a forest with many trees.",,,,
100428,"a large body of water next to a lush green field, sitting under a cloudy blue sky, surrounded by a forest, with an aerial view of the forest and the lake.",,,,
100429,"a couple of people and a person in a costume riding on a boat, traveling down a river next to tall buildings.",,,,
100430,"a helicopter flying over a lush green field with a tree in the middle, a farm in the background, and a wooded area with trees",,,,
100431,"a boat with two people traveling across a large body of water under a cloudy sky, the water is surrounded by mountains.",,,,
100432,"a dog is swimming and standing in the water near a beach, with an aerial and fish eye view of the river, trees, and the beach.",,,,
100433,"an image of an elephant and a dog near a body of water, specifically a river with trees in the background and a dirt field with trees.",,,,
100434,a computer generated 3D image of a wide angle view of a rocky river running through a lush green forest with a mountain in the background.,,,,
100435,"a 3D image of a man riding a bike down a dirt road near a cliff, with a bear swimming in a nearby river that has trees in it.",,,,
100436,a couple of men riding on the back of a small boat on top of a lake at sunset.,,,,
100437,"a blurry image of a house in the middle of a large field with a sign that says pano, the field has a lake in the background.",,,,
100438,"The output is: an aerial view of a group of people on a golf course field with tents, a grassy field, a lake in the background, and a boat on a body of water.",,,,
100439,"a blurry photo of a plane flying over a green field with a red and white truck, mountains in the background, and a sign in the middle of it",,,,
100440,"a wide shot of a dog walking across a river with rocks and grass in a lush green countryside, with a mountain in the background.",,,,
100441,a panoramic view of a lush green countryside with a river running through it,,,,
100442,"a brown bear standing on top of a lush green countryside, with a river running through it.",,,,
100443,"an aerial view of an airport runway next to a grassy field, the scene includes a body of water, a mountain, a sandy beach next to the ocean, a plane and a white helicopter flying over a road.",,,,
100444,"a panoramic aerial view of a large body of water, presumably a lake, surrounded by land and mountains, with a plane and a white helicopter flying over it, and a lush green field nearby.",,,,
100445,"an aerial and panoramic view of a large body of water, including a lake and mountains, with a computer-generated airplane and a helicopter flying over it.",,,,
100446,"an aerial and panoramic view of a large body of water including a lake and mountains, with an airplane and a white helicopter flying over it.",,,,
100449,"an aerial view of a large body of water including a beach, a plane and a helicopter flying over, with a snow covered ground nearby.",,,,
100451,"a view of a body of water at sunset, the water featuring a large iceberg floating in the middle and a hill in the background, a helicopter is flying over the scene.",,,,
100453,"a panoramic view of a large body of water with the sun shining over a bridge, an aerial view of the same bridge over a river.",,,,
100454,"an aerial view of a castle in the middle of a large body of water at sunset, with a boat in it.",,,,
100455,"an aerial view of a train crossing a bridge over a highway and a river, the scene includes a train track",,,,
100456,"a panoramic and aerial view of a city with a train on the tracks, seen from a bridge and a bird's eye view, including a view of a bridge over a river.",,,,
100458,"a panoramic view of a city with a bridge over a river and a mountain in the background, the city has buildings on one side of the river and a large body of water on the other side.",,,,
100459,"a panoramic and aerial view of a river running through a city, the city including tall buildings, a large white building with a clock tower, and a bridge in the background.",,,,
100460,"a panoramic view of a city with tall buildings and mountains in the background, a river running through the city",,,,
100461,"a panoramic and aerial view of a city with mountains in the background and a river running through it, the city seen from a bird's eye view.",,,,
100462,a large crowd of people walking and standing in a street next to tall buildings.,,,,
100463,a large crowd of people and a group of people riding motorcycles down a street next to tall buildings.,,,,
100464,"a crowd of people walking down a street next to tall buildings, holding red flags and walking in front of a red building.",,,,
100465,"a large crowd of people walking down a street, standing in front and around a building",,,,
100466,"a snowboarder is doing a trick in the air over a snow-covered mountain, the scene including a plane flying over and a view of the mountain top.",,,,
100467,"a view from a hot air balloon of a plane flying over a snow covered mountain range, with a clear sky background.",,,,
100468,"a 3d image of a snowy mountain range with a sky background, including views from a ski lift and a plane, and an airplane flying over",,,,
100469,"an aerial view of a snow covered mountain range with a blue sky in the background, as viewed from a plane.",,,,
100470,"a 3D image of a snow covered mountain with a sky background, a snowboarder doing a trick in the air, and the word airpano over it.",,,,
100471,"a panoramic aerial view of a snow covered mountain range from a plane, with a picture of a mountain having the word airpano over it.",,,,
100472,a view from a plane of a snow covered mountain range with a blue sky in the background and the word airpano above it.,,,,
100473,"a picture of a large crowd of people around a building, the crowd is walking down a street, standing in front of the building.",,,,
100475,"a large crowd of people standing and walking around a parking lot, a street and in front of a building.",,,,
100476,"a large crowd of people walking across a parking lot, down a street and standing in front of a building.",,,,
100477,"a large group of people standing in a stadium, on top of a street, in front of a building and around in front of a crowd.",,,,
100478,"a panoramic view of a sunny, snow covered mountain under a blue sky, as seen from a plane.",,,,
100479,"a view of a snow covered mountain with a bright sun and a blue sky in the background, seen from a plane and an aerial view.",,,,
100480,"an aerial view from a plane of a snowy mountain landscape under the bright sun, with a snow covered mountain and a sky background.",,,,
100481,"a view of a large waterfall on a mountain with lots of water coming out, the mountain has a river running through it, the river also runs through a lush green valley and a rocky valley.",,,,
100482,"a picture of a river running through a lush green valley and hillside, with a field, rocks, flowers, and grass in the mountains in the foreground",,,,
100483,"an aerial and panoramic view of a city at sunset, the city including a large white building, with the word airpano in the foreground",,,,
100484,"an aerial view of a city and a green field at sunset, including a large building in the middle of a park.",,,,
100485,"a computer generated image of a green and blue sky over a body of water, featuring a full moon and a mountain.",,,,
100486,"a computer generated image of a green and blue aurora bore over a body of water at night, including a mountain lake and a river.",,,,
100487,"a view of a green aurora bore over a lake with a red house and a wooden dock next to it, mountains in the background and a red building with a white window and a red roof.",,,,
100488,"a view of a lake with rocks and a mountain in the background, a red house sitting on top of a rocky beach, under the bright shine of a full moon.",,,,
100489,"a panoramic long exposure photo of a lake at night, the lake surrounded by mountains, a house on the shore, a beach, and the aurora lights shining brightly over the water.",,,,
100490,"a blurry photo of a frozen lake with a waterfall and trees in the background, a snow covered road also included in the scene.",,,,
100491,"an aerial view of a snow covered mountain with a river running through it, the river is surrounded by snow covered trees.",,,,
100492,a snowboarder is going down a snow covered mountain side with a wooden fence and a frozen waterfall in the middle of winter,,,,
100493,"a frozen waterfall in the middle of a snow covered forest in winter, the forest including a path, a river, a stream and snow covered trees.",,,,
100494,"a snowy landscape with a frozen river flowing through a snow covered forest, featuring a frozen cliff, a waterfall and a body of water in the foreground.",,,,
100495,an aerial view of a snow covered forest,,,,
100496,"an aerial view of a frozen body of water in the woods, the body of water including a lake, a waterfall, and a river, surrounded by snow covered trees.",,,,
100497,"an aerial view of a snow-covered landscape, featuring a frozen waterfall in the middle of a forest, a river, and a mountain.",,,,
100498,"a snowy landscape with a couple of people walking up a hill, a person riding skis down a slope, and features like trees, bushes, and a body of water, all covered in snow.",,,,
100499,"The output is: a frozen waterfall in the middle of a snow covered forest in winter, with trees, rocks, a road nearby, and a person walking down a snow covered path.",,,,
100500,"a snowy landscape featuring a frozen waterfall in the middle of a forest, accompanied by a river and trees.",,,,
100501,"a river running through a snow covered forest, surrounded by trees, with two people walking along a snowy path next to the body of water.",,,,
100502,"an aerial view of a winter scene featuring a frozen waterfall in a snow-covered forest, with a river flowing through it.",,,,
100503,"a frozen waterfall in the middle of winter with a group of people standing on top of a snow covered mountain, the scene includes a mountain side with a sky background.",,,,
100504,"a blurry photo of a snowy landscape, featuring trees, a forest and a boat in the water.",,,,
100505,"a green and blue aurora bore over the ocean with a lighthouse, along with a blurry view of a city at night",,,,
100506,"a view of a green and blue aurora bore and a red lighthouse over the ocean at night, with a person sitting on a bench in front of the ocean",,,,
100507,a panoramic aerial view of a city with a bridge over a river running through it,,,,
100508,"a panoramic view of a city from a rooftop, the city is next to a body of water, with a bridge over a river and a large boat floating on it.",,,,
100509,"a panoramic and aerial view of a city with a red roof, including a bridge over a river running through the city.",,,,
100510,a panoramic and aerial view of a city with a bridge over a river running through it,,,,
100511,"a panoramic view of a city on the water with a bridge in the background, including a blurry photo of a boat docked in a harbor, and an aerial view of boats on a river.",,,,
100512,"a panoramic aerial view of a city with a river running through it, a harbor, a hill in the background, and the ocean.",,,,
100513,a panoramic and bird's eye view of a city at sunset with a large body of water and a river running through it.,,,,
100514,"a panoramic and aerial view of a lake, a beach, a mountain and a dirt road in the mountains, with the sun shining over the water and clouds.",,,,
100515,"a large body of water, possibly a lake, surrounded by a forest with people riding in a boat and a man on a jet ski.",,,,
100516,"a blurry photo of a body of water, possibly a lake, with mountains in the background, boats in the water, and a boat sitting on top of a rocky beach.",,,,
100517,"an aerial view of a field with a dirt road and a river running through it, a forest with a mountain in the background, and a river running through the forest.",,,,
100518,a blurry panoramic view of a river running through a forest with a rocky outcropping and trees in the background.,,,,
100519,"an aerial view of a river running through a forest, the scene includes a field and a mountain.",,,,
100520,"a blurry photo of a waterfall view from a boat on a river, including a body of water and a cliff in the background.",,,,
100521,a panoramic view of a desert landscape with an orange helicopter and a plane flying in the sky.,,,,
100522,"a blurry photo of a large body of water with a boat traveling on it, surrounded by mountains in the background.",,,,
100523,a view of a group of people riding on the back of a boat in a body of water with mountains in the background.,,,,
100524,"a 3D image of a beach under a cloudy sky, the beach including a river, rocks in the foreground, a body of water, and a mountain in the background.",,,,
100525,"a boat traveling on a large body of water, possibly a lake or river, with mountains and a forest in the background, and a group of people standing on top of the boat.",,,,
100526,"a computer generated image of a large body of water under a cloudy sky, the view includes a forest, a lake with a mountain in the background, captured from both bird's eye and aerial perspectives.",,,,
100527,"a view of a river with rapids running through a canyon, with mountains and a waterfall in the background, a man standing on top of the river, and a mountain side with a sign that says airpano",,,,
100528,"a view from a boat of a man riding a kayak on a river, the river runs through a rocky area with a mountain side that has a sign reading 4upanoo.",,,,
100529,"a view of a man and a group of people riding down a river on a yellow raft and a surfboard, as seen from a boat in the water.",,,,
100530,"a view of a river from a moving yellow boat, the river with a sign in the middle of it and a mountain in the background.",,,,
100531,"a view of a river running through a canyon in the mountains, including a man kayaking, rocks, water, and a sign that reads 'airpano'.",,,,
100532,"a red raft is going down a rocky river with trees and a mountain in the background, the river is running through a canyon.",,,,
100534,an aerial view of a small island in the middle of the ocean,,,,
100535,"a bird's eye view of a tropical island in the middle of the ocean, the island surrounded by a large body of water and mountains.",,,,
100536,"an aerial view of a boat traveling down a river next to a lush green hillside, surrounded by trees, an island in the middle of a large body of water, leading to a tropical island in the ocean.",,,,
100539,"a computer generated 3D image of a tropical island in the middle of a large body of water, the island is surrounded by trees and land.",,,,
100541,"an aerial view of a lake surrounded by trees, with a boat in the middle and mountains in the background.",,,,
100543,"a view of a large body of water with a small island, trees in the background, and an aerial perspective.",,,,
100551,"an aerial view of a small town with a church, a large body of water, and a beach, also featuring a cityscape in the background.",,,,
100565,"a panoramic aerial view of a city with tall buildings, a river running through it and boats in the water.",,,,
100586,"a 3d image of a river running through a canyon, the canyon including a mountain in the background, a pool of water with a fish swimming.",,,,
